hi 1200d,8.0,70.0
honda accord,4.0,81.0
honda accord cvcc,4.0,77.0
honda accord lx,4.0,78.0
honda civic,4.0,77.33333333333333
honda civic (auto),4.0,82.0
honda civic 1300,4.0,81.0
honda civic 1500 gl,4.0,80.0
honda civic cvcc,4.0,76.5
honda prelude,4.0,81.0
maxda glc deluxe,4.0,79.0, 0.45
maxda rx3,3.0,73.0
mazda 626,4.0,80.5
mazda glc,4.0,80.0, 0.45
mazda glc 4,4.0,81.0, 0.45
mazda glc custom,4.0,82.0, 0.45
mazda glc custom l,4.0,82.0, 0.45
mazda glc deluxe,4.0,78.0, 0.45
mazda rx-4,3.0,77.0
mazda rx-7 gs,3.0,80.0
mazda rx2 coupe,3.0,72.0
mercedes benz 300d,5.0,79.0, 0.43
mercedes-benz 240d,4.0,80.0, 0.43
mercedes-benz 280s,6.0,76.0, 0.43
mercury capri 2000,4.0,71.0
mercury capri v6,6.0,73.0
mercury cougar brougham,8.0,77.0
mercury grand marquis,8.0,79.0
mercury lynx l,4.0,82.0
mercury marquis,8.0,72.0
mercury marquis brougham,8.0,73.0
mercury monarch,6.0,75.0
mercury monarch ghia,8.0,78.0
mercury zephyr,6.0,78.0
mercury zephyr 6,6.0,79.0
nissan stanza xe,4.0,82.0
oldsmobile cutlass ciera (diesel),6.0,82.0
oldsmobile cutlass ls,8.0,81.0
oldsmobile cutlass salon brougham,8.0,78.5
oldsmobile cutlass supreme,8.0,77.0
oldsmobile delta 88 royale,8.0,72.0
oldsmobile omega,8.0,73.0
oldsmobile omega brougham,6.0,79.0
oldsmobile starfire sx,4.0,78.0
oldsmobile vista cruiser,8.0,73.0
opel 1900,4.0,73.5
opel manta,4.0,73.5
peugeot 304,4.0,71.0, 0.44 
peugeot 504,4.0,75.0, 0.44
peugeot 504 (sw),4.0,72.0
peugeot 505s turbo diesel,4.0,81.0
peugeot 604sl,6.0,78.0
plymouth 'cuda 340,8.0,70.0
plymouth arrow gs,4.0,77.0
plymouth champ,4.0,81.0
plymouth cricket,4.0,71.0
plymouth custom suburb,8.0,73.0
plymouth duster,6.0,72.33333333333333
plymouth fury,6.0,75.0
plymouth fury gran sedan,8.0,73.0
plymouth fury iii,8.0,71.0
plymouth grand fury,8.0,75.0
plymouth horizon,4.0,79.0
plymouth horizon 4,4.0,81.0
plymouth horizon miser,4.0,82.0
plymouth horizon tc3,4.0,79.0
plymouth reliant,4.0,81.0
plymouth sapporo,4.0,78.0
plymouth satellite,8.0,70.0
plymouth satellite custom,6.0,71.0
plymouth satellite custom (sw),8.0,72.0
plymouth satellite sebring,6.0,74.0
plymouth valiant,6.0,74.5
plymouth valiant custom,6.0,75.0
plymouth volare,6.0,78.0
plymouth volare custom,6.0,77.0
plymouth volare premier v8,8.0,76.0
pontiac astro,4.0,75.0
pontiac catalina,8.0,72.33333333333333
pontiac catalina brougham,8.0,71.0
pontiac firebird,6.0,71.0
pontiac grand prix,8.0,73.0
pontiac grand prix lj,8.0,77.0
pontiac j2000 se hatchback,4.0,82.0
pontiac lemans v6,6.0,79.0
pontiac phoenix,4.0,80.5
pontiac phoenix lj,6.0,78.0
pontiac safari (sw),8.0,71.0
pontiac sunbird coupe,4.0,77.0
pontiac ventura sj,6.0,76.0
renault 12 (sw),4.0,72.0
renault 12tl,4.0,76.0
renault 5 gtl,4.0,77.0
saab 99e,4.0,70.0
saab 99gle,4.0,78.0
saab 99le,4.0,74.0
subaru,4.0,77.5
subaru dl,4.0,78.5
toyota carina,4.0,73.0
toyota celica gt,4.0,82.0
toyota celica gt liftback,4.0,78.0
toyota corolla,4.0,78.8
toyota corolla 1200,4.0,72.5
toyota corolla 1600 (sw),4.0,72.0
toyota corolla liftback,4.0,77.0
toyota corolla tercel,4.0,80.0
toyota corona,4.0,74.5
toyota corona hardtop,4.0,72.0
toyota corona liftback,4.0,80.0
toyota corona mark ii,4.0,70.0
toyota cressida,6.0,81.0
toyota mark ii,6.0,74.5
toyota starlet,4.0,81.0
toyota tercel,4.0,81.0
toyouta corona mark ii (sw),4.0,72.0
triumph tr7 coupe,4.0,80.0
vokswagen rabbit,4.0,80.0, 0.42
volkswagen 1131 deluxe sedan,4.0,70.0, 0.48
volkswagen 411 (sw),4.0,72.0, 0.36
volkswagen dasher,4.0,75.33333333333333, 0.42
volkswagen jetta,4.0,81.0, 0.42
volkswagen model 111,4.0,71.0
volkswagen rabbit,4.0,75.5, 0.42
volkswagen rabbit custom,4.0,77.0, 0.42
volkswagen rabbit custom diesel,4.0,78.0, 0.42
volkswagen rabbit l,4.0,82.0, 0.42
volkswagen scirocco,4.0,78.0, 0.42
volkswagen super beetle,4.0,73.0, 0.48
volkswagen type 3,4.0,72.0, 0.48
volvo 144ea,4.0,73.0, 0.43
volvo 145e (sw),4.0,72.0, 0.43
volvo 244dl,4.0,75.0, 0.39
volvo 245,4.0,76.0, 0.39
volvo 264gl,6.0,78.0, 0.43
volvo diesel,6.0,81.0, 0.43
vw dasher (diesel),4.0,80.0, 0.42
vw pickup,4.0,82.0, 0.43
vw rabbit,4.0,78.0, 0.42
vw rabbit c (diesel),4.0,80.0, 0.42
vw rabbit custom,4.0,79.0, 0.42
